Timestamp,Temperature(C),Humidity(%)
2021-11-29 06:18:12,33.4,18.3
2021-11-29 06:18:17,33.4,18.2
2021-11-29 06:18:24,33.4,18.2
2021-11-29 06:18:29,33.3,18.4
2021-11-29 06:18:34,33.3,18.3
2021-11-29 06:18:40,33.4,18.3
2021-11-29 06:18:45,33.3,18.6
2021-11-29 06:18:50,33.3,18.2
2021-11-29 06:18:56,33.4,18.4
2021-11-29 06:19:01,33.3,18.4
2021-11-29 06:19:12,33.4,18.1
2021-11-29 06:19:17,33.3,18.4
2021-11-29 06:19:22,33.4,18.5
2021-11-29 06:19:27,33.4,18.3
2021-11-29 06:19:33,33.4,18.5
2021-11-29 06:19:38,33.4,18.1
2021-11-29 06:19:43,33.4,18.3
2021-11-29 06:19:49,33.4,18.3
2021-11-29 06:19:54,33.3,18.4
2021-11-29 06:19:59,33.3,18.4
2021-11-29 06:20:05,33.4,18.5
2021-11-29 06:20:10,33.4,18.4
2021-11-29 06:20:15,33.4,18.5
2021-11-29 06:20:21,33.4,18.5
2021-11-29 06:20:26,33.4,18.3
2021-11-29 06:20:31,33.4,18.4
2021-11-29 06:20:36,33.3,18.1
2021-11-29 06:20:42,33.3,18.6
2021-11-29 06:20:47,33.4,18.5
2021-11-29 06:20:53,33.4,18.5
2021-11-29 06:20:58,33.3,18.4
2021-11-29 06:21:03,33.3,18.4
2021-11-29 06:21:08,33.4,18.4
2021-11-29 06:21:14,33.3,18.6
2021-11-29 06:21:19,33.4,18.3
2021-11-29 06:21:25,33.3,18.2
2021-11-29 06:21:30,33.4,18.4
2021-11-29 06:21:35,33.3,18.4
2021-11-29 06:21:40,33.4,18.4
2021-11-29 06:21:46,33.4,18.1
2021-11-29 06:21:51,33.4,18.2
2021-11-29 06:21:56,33.4,18.2
2021-11-29 06:22:02,33.4,18.4
2021-11-29 06:22:07,33.4,18.4
2021-11-29 06:22:12,33.3,18.2
2021-11-29 06:22:18,33.3,18.3
2021-11-29 06:22:23,33.3,18.5
2021-11-29 06:22:28,33.3,18.5
2021-11-29 06:22:34,33.4,18.4
2021-11-29 06:22:39,33.3,18.2
2021-11-29 06:22:44,33.3,18.2
2021-11-29 06:22:50,33.3,18.4
2021-11-29 06:22:55,33.3,18.1
2021-11-29 06:23:00,33.3,18.3
2021-11-29 06:23:11,33.3,18.3
2021-11-29 06:23:16,33.3,18.4
2021-11-29 06:23:21,33.3,18.2
2021-11-29 06:23:27,33.3,18.3
2021-11-29 06:23:32,33.3,18.5
2021-11-29 06:23:37,33.3,18.4
2021-11-29 06:23:43,33.3,18.3
2021-11-29 06:23:48,33.3,18.3
2021-11-29 06:23:53,33.3,18.1
2021-11-29 06:23:59,33.4,18.2
2021-11-29 06:24:04,33.4,18.2
2021-11-29 06:24:14,33.3,18.2
2021-11-29 06:24:20,33.4,18.6
2021-11-29 06:24:25,33.3,18.2
2021-11-29 06:24:30,33.3,18.5
2021-11-29 06:24:36,33.3,18.1
2021-11-29 06:24:41,33.3,18.5
2021-11-29 06:24:46,33.3,18.4
2021-11-29 06:24:57,33.3,18.2
2021-11-29 06:25:02,33.3,18.4
2021-11-29 06:25:08,33.4,18.4
2021-11-29 06:25:13,33.4,18.5
2021-11-29 06:25:18,33.4,18.4
2021-11-29 06:25:24,33.4,18.3
2021-11-29 06:25:29,33.3,18.5
2021-11-29 06:25:34,33.3,18.3
2021-11-29 06:25:39,33.3,18.3
2021-11-29 06:25:45,33.3,18.2
2021-11-29 06:25:50,33.4,18.3
2021-11-29 06:25:55,33.3,18.3
2021-11-29 06:26:01,33.4,18.3
2021-11-29 06:26:06,33.3,18.3
2021-11-29 06:26:16,33.4,18.4
2021-11-29 06:26:22,33.4,18.3
2021-11-29 06:26:27,33.4,18.1
2021-11-29 06:26:32,33.3,18.3
